fy,page,subject,priority,state,figures,figures_reversed,read_by,heading,answers,document
2025,39,debt,3,read,203,1,"debt, debt-repayment-detail",*MASS WATER POLLUTION ABATEMENT TRUST: PAYMENT AMOUNTS TO BE,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2024,22,receivables,3,unread,42,0,,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,36,debt,3,read,0,27,outstanding-debt,FIVE YEARS OUTSTANDING DEBT,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,37,debt,3,read,142,7,"debt, debt-repayment-detail-refused",*MASS WATER POLLUTION ABATEMENT TRUST: PAYMENT AMOUNTS TO BE,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,38,receivables,3,unread,136,0,,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,39,receivables,3,unread,91,0,,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2023,52,debt,3,read,0,32,"debt, outstanding-debt",FIVE YEARS OUTSTANDING DEBT,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,53,debt,3,read,24,8,"debt, debt-repayment-detail-refused","TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 202","IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,54,receivables,3,read,123,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,55,receivables,3,read,117,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,56,receivables,3,read,50,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2022,44,debt,3,read,5,23,outstanding-debt,FIVE YEARS OUTSTANDING DEBT,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,45,debt,3,read,65,0,debt-repayment-detail-refused,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 202","IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,47,debt,3,read,82,2,debt-repayment-detail-refused,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 202","IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,49,receivables,3,read,86,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,50,receivables,3,read,87,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,51,receivables,3,read,47,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2021,42,debt,3,read,0,35,outstanding-debt,FIVE YEARS OUTSTANDING DEBT,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,43,debt,3,read,253,0,"debt, debt-repayment-detail-refused","S138,324","IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,44,debt,3,read,24,3,"debt, debt-repayment, debt-repayment-detail-refused","TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 202","IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,45,debt,3,read,77,0,"debt, debt-repayment-detail-refused","TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 202","IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,46,debt,3,read,18,1,"debt, debt-repayment-detail-refused",*MASS WATER POLLUTION ABATEMENT TRUST: PAYMEN,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,47,receivables,3,read,95,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,48,receivables,3,read,95,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,49,receivables,3,read,36,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2020,42,debt,3,read,0,33,outstanding-debt,EIVE YEARS OUTSTANDING DEBI,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,43,debt,3,read,296,2,debt-repayment-detail-refused,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 202","IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,44,debt,3,read,20,0,debt-repayment-detail-refused,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 202","IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,45,debt,3,read,98,0,"debt, debt-repayment-detail-refused","TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 202","IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,47,receivables,3,read,89,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,48,receivables,3,read,89,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,49,receivables,3,read,24,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,48,debt,3,read,0,31,outstanding-debt,40021012,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4126-fy-2019-annual-town-report.tsv
2019,49,debt,3,read,129,1,debt-repayment-detail-refused,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 201","IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4126-fy-2019-annual-town-report.tsv
2019,50,debt,3,read,51,0,"debt, debt-repayment-detail-refused","TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 201","IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4126-fy-2019-annual-town-report.tsv
2019,52,debt,3,read,26,1,"debt-repayment, debt-repayment-detail-refused","TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 201","IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4126-fy-2019-annual-town-report.tsv
2019,53,receivables,3,unread,40,0,,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4126-fy-2019-annual-town-report.tsv
2019,54,receivables,3,unread,32,0,,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4126-fy-2019-annual-town-report.tsv
2019,55,receivables,3,unread,33,0,,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4126-fy-2019-annual-town-report.tsv
2018,47,debt,3,read,0,26,outstanding-debt,FIVE YEARS OUTSTANDING DEBT,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,48,debt,3,read,140,1,debt-repayment-detail-refused,MEADOW WOODS-SEWER GENERAL OBLIGATION,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,49,debt,3,read,101,0,debt-repayment-detail,FISCAL YEAR,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,51,debt,3,read,55,0,debt-repayment-detail-refused,FISCAL YEAR,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,52,receivables,3,read,76,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,53,receivables,3,read,78,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,54,receivables,3,read,42,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2017,40,debt,3,read,1,23,outstanding-debt,FIVE YEARS OUTSTANDING DEBT,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,41,debt,3,read,18,0,"debt, debt-repayment-detail-refused",EISCAL YEAR,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,42,debt,3,read,64,8,"debt-repayment, debt-repayment-detail-refused",*MASS WATER POLLUTION ABATEMENT TRUST: E,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,43,receivables,3,read,67,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,44,receivables,3,read,66,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,45,receivables,3,read,54,0,receivables,TOWN OF LUNENBURG,"What is owed to the town and has not been collected. Thirty pages over twelve years, and nothing here measures it; it is the other half of the tax-collection picture the property-owners and tax-bill pages tell from the levy side.",sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2016,43,debt,3,read,0,15,outstanding-debt,FIVE YEARS OUTSTANDING DEBT,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,44,debt,3,read,409,0,debt-repayment-detail,FISCAL YEAR,"IT HAD NO ENTRY AT ALL and fell through to 99, so 34 unread pages — the second-largest block here — were sorting below `unknown`. The reason to rank it high is one line of `model/finance.py`: `excluded_debt=2_199_352.52`, a figure TYPED INTO THE MODEL, and debt-excluded borrowing is a real component of the levy the town raises. The repayment schedules state principal and interest BY YEAR and BY BORROWING, which makes debt service the one large expense that is knowable years ahead rather than projected — rule 3’s ""set by contract"" category, of which this project currently derives none. Two printed tables wear this label: the repayment schedule and the five-year outstanding statement; they are different grains and must not be summed together.",sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
