order,section,metric,value,what_it_is,kind,source,duplicate_of,keep,new_order,notes
162,"8 Everything each report establishes (by topic) — The households — who they are, and what they pay",Lunenburg by the numbers — who lives here,205,"Ordinary income for Massachusetts, and 310 of 318 districts on spending for each pupil.",measured,/lunenburg-by-the-numbers,,,,
163,"8 Everything each report establishes (by topic) — The households — who they are, and what they pay",Lunenburg by the numbers — who lives here,3 of 15,Only 3 of 15 measures compared across the two five-year windows clear their margins.,measured,/lunenburg-by-the-numbers,,,,
164,"8 Everything each report establishes (by topic) — The households — who they are, and what they pay","What sports cost, and who pays","$602,285","Left the town’s accounts for athletics in FY2024, more than any document totals",measured,/what-sports-cost,section 7 (the report’s lead),,,
165,"8 Everything each report establishes (by topic) — The households — who they are, and what they pay","What sports cost, and who pays","$518,334",Everything the town’s books code to athletics in FY2026 — director and trainer included,measured,/what-sports-cost,,,,
166,"8 Everything each report establishes (by topic) — The households — who they are, and what they pay","What sports cost, and who pays","$87,822","Budgeted for athletic buses in FY2025, more than double the year before",measured,/what-sports-cost,,,,
167,"8 Everything each report establishes (by topic) — The households — who they are, and what they pay",What a family actually pays,"$1,110","A year for two high schoolers, one sport each, riding the bus and joining a club",measured,/what-families-pay,section 7 (the report’s lead),,,
168,"8 Everything each report establishes (by topic) — The households — who they are, and what they pay",What a family actually pays,$812.50,"A year for three children playing one sport each, at the full rate",measured,/what-families-pay,,,,
169,"8 Everything each report establishes (by topic) — The households — who they are, and what they pay",What a family actually pays,$460,What a second child adds to a family’s school bill,measured,/what-families-pay,,,,
170,9 Tail,Reports not spoken for,0,named list,list,build_master_report.py,,,,
171,9 Tail,Analyses written as documents,17,"80,083 words",list,build_master_report.py,,,,
172,9 Tail,How this page is built,,two paragraphs of method,prose,,,,,
