table_name,role,scope,tier,grain,what_it_answers,caution,default_query
dese_sped_indicator,fact,school,2,one row per district per grade group per student group per indicator per school year,"Special education indicators SY2017-SY2026: the context counts, the special education staffing ratios per 100 students with disabilities, and the outcome, assessment and postsecondary measures, each with students with disabilities set beside students without.","Three things. (1) `grades_level` says `all` or `subset` and THE SUBSETS OVERLAP -- Grade 10 is inside Grades 9-12 is inside K-12 -- so no sum across `grades` means anything. (2) `denominator_cnt` is the population the percentage is OF; the indicator's own figure is `measure_cnt`, and on the SPECIAL EDUCATION STAFF rows `measure_cnt` is the students-with-disabilities denominator while `measure_pct` is the FTE per 100 of them. (3) `value_type` says whether a row is a percentage, an average, an FTE or an FTE per 100 -- read it before doing arithmetic. The staffing ratios times the count are what produce the unresolved $69,161 per paraprofessional FTE; see money_gaps. `printing` is part of the key -- DESE publishes a handful of these rows twice -- so collapse on it before aggregating.","SELECT fy, grades, student_group, indicator, measure_cnt, measure_pct, value_type FROM dese_sped_indicator WHERE lea='01620000' AND indicator_category='SPECIAL EDUCATION STAFF' ORDER BY fy DESC, indicator LIMIT 1000"
dese_sped_program,fact,school,2,one row per district per indicator category per indicator per school year,"What the students with disabilities are: disability type, race, gender, grade span, in district against out of district, placement, and the special education FTE ratios. SY2020-SY2026. It carries a PUBLISHED count of students with disabilities, which used to be reachable here only by multiplying a percentage by enrollment.","`indicator_level` is `total` or `member` and every category carries its own total row. Three categories do not behave like the others: `Placement` runs SHORT of its own total because its four members are IN-DISTRICT placements and children placed out of district appear in the total and in none of them; `Disability Type` is a collapsed rendering of `Disability Type All` with several disabilities folded into `Other Disability`, so adding the two counts every child twice; and `Special Education FTEs per 100 SWDs` is a RATIO despite sitting in the same column and despite `value_type` saying `Percent` on every row of this file. `printing` is part of the key: 95 rows are published twice, most of them the same district under two different names (`Ayer Shirley` and `Ayer Shirley School District` share one org code). Collapse on it before aggregating.","SELECT fy, indicator_category, indicator, indicator_level, measure_cnt, measure_pct FROM dese_sped_program WHERE lea='01620000' AND fy=2026 AND indicator_category='Disability Type All' ORDER BY measure_cnt DESC LIMIT 1000"
dese_sped_trajectory,fact,school,2,one row per district per grade span per starting placement per school year,"Where a child's placement started and where the same children are now -- no IEP, included, substantially separate, or out of district. SY2018-SY2026. Out-of-district tuition is the largest single line in the special education budget and this is the pathway into it.","THE BASES ARE TINY. A Lunenburg cohort is tens of children, so a percentage here must never travel without its count -- 14.3% of 28 is four children, and one year of one cohort establishes nothing. `grade_span` K-12 and K-2 OVERLAP and must never be summed. `unaccounted_cnt` is the cohort less the four destinations: what it IS -- moved away, left for a private school, aged out, suppressed -- is not established by this file.","SELECT fy, grade_span, placement_at_start, cohort_cnt, no_iep_cnt, included_cnt, sub_separate_cnt, out_of_district_cnt, unaccounted_cnt FROM dese_sped_trajectory WHERE lea='01620000' ORDER BY fy DESC, grade_span, placement_at_start LIMIT 1000"
dese_sped_movement,fact,school,2,one row per district per grade group per school year,Caseload movement: how many children entered special education services in a year and how many left. The dynamic behind the spending line that a headcount alone cannot show. SY2019-SY2025.,"TWO TRAPS. `repeats_prior_year` is `yes` where all four figures exactly equal the same district's previous year -- Lunenburg's SY2024 and SY2025 are such a pair, and four independently counted quantities landing identically two years running is not plausible where a row carried forward is. Never sum two such years as two years of movement. And `grade_rows_sum` is NOT `enrolled_cnt`: the grade rows are not the K-12 row broken down, because the `Grade 12` row is a fraction of the size of the others. What the residual is has not been established.","SELECT fy, grades, enrolled_cnt, on_iep_cnt, moved_in_cnt, moved_out_cnt, moved_in_cnt - moved_out_cnt AS net, repeats_prior_year FROM dese_sped_movement WHERE lea='01620000' AND grades_level='all' ORDER BY fy DESC LIMIT 1000"
dese_town_enrollment,fact,school,1,one row per school year per town of residence per enrollment reason per enrolling district,"Where a town's resident children actually go to school, and who arrives from where, SY2014-SY2026, by reason: school choice, charter, tuitioned in several ways, METCO, foster care. Both directions of the choice question, and the headcounts behind the choice dollars on the cherry sheet.","ONE TABLE FROM TWO DATASET IDS. DESE publishes `vxt3-k35x` as Sending and `8xyg-59b2` as Receiving; compared row by row they hold the IDENTICAL rows and differ only in column order, so they are one measurement published twice and are loaded once. Do not treat a net position drawn from this as resting on two agreeing sources. Filter on `town` for children leaving, on `lea` for children arriving; `town='Lunenburg' AND lea='01620000'` is the resident children who stay. SCOPED: every row about Lunenburg in either direction plus both directions for the six peers, because 74,878 statewide rows would take the published database past Cloudflare's 25MB per-asset limit. The two source files were compared on all 74,878 rows before scoping, so the claim that they are one dataset published twice covers the whole publication.","SELECT fy, enrollment_reason, district, students FROM dese_town_enrollment WHERE town='Lunenburg' AND fy=2026 AND lea <> '01620000' ORDER BY students DESC LIMIT 1000"
dese_ch70_formula,fact,school,1,one row per district per fiscal year,"The Chapter 70 formula term by term for every Massachusetts district, FY1993-FY2026: foundation enrollment, foundation budget, required local contribution, aid, required net school spending and what was actually spent. Thirty-four years. It answers a question nobody in town can currently put a number on -- does Lunenburg spend above or below the minimum the state requires -- and its FY2026 aid figure ties exactly to the town's own MUNIS revenue ledger.","THREE COLUMN NAMES IN THE SOURCE MEAN TWO THINGS EACH. `required_nss` is the workbook's column I, the formula's own arithmetic; `required_nss_published` is column J, what DESE publishes with carryover included, and the two differ in over a thousand district-years. `ch70_aid` and `ch70_aid_after_penalties` are columns H and M. AND `nss_stage` IS LOAD-BEARING: the source column is headed `actualNSS` for all thirty-four years, but FY2025 and FY2026 hold BUDGETED net school spending. Rule 1 -- a rate measured from an actual to a budget is partly growth and partly the step between the two. Publish the ratio to required as a measurement and never as a verdict: the required minimum is a floor, not a standard of adequacy. SCOPED to Lunenburg, its six peers and the state row, because the published database has to stay under Cloudflare's 25MB per-asset limit. Every identity the extract asserts is asserted across ALL districts before the scope is applied, and `dese_ch70_statewide` keeps the all-district comparison as a distribution.","SELECT fy, foundation_enrollment, foundation_budget, required_local_contribution, ch70_aid, required_nss_published, net_school_spending, nss_stage, nss_pct_of_required FROM dese_ch70_formula WHERE lea='01620000' ORDER BY fy DESC LIMIT 1000"
dese_ch70_aid_factor,fact,school,2,one row per district per fiscal year,"The aid build-up, term by term, FY2007 on: every increment the Chapter 70 formula adds between the foundation budget and the aid actually paid, and every reduction it applies. This is what lets anybody model how the aid RESPONDS to a change in enrollment rather than assuming it moves linearly.","`level` separates the state row from the districts. Its `ch70_aid` agrees with `dese_ch70_formula` in every district-year they share, checked on every build -- they are two sheets of one workbook, not two sources. The increments are the formula's own machinery and several are zero in most years by design; a zero here is a term that did not apply, not a missing figure. SCOPED to Lunenburg, its six peers and the state row, because the published database has to stay under Cloudflare's 25MB per-asset limit. Every identity the extract asserts is asserted across ALL districts before the scope is applied, and `dese_ch70_statewide` keeps the all-district comparison as a distribution.","SELECT fy, foundation_enrollment, foundation_budget, target_aid_pct, foundation_aid_increment, minimum_aid_increment, ch70_aid FROM dese_ch70_aid_factor WHERE lea='01620000' ORDER BY fy DESC LIMIT 1000"
dese_ch70_contribution,fact,town,2,one row per MUNICIPALITY per fiscal year,"The municipal side of the Chapter 70 formula: equalized valuation, income, the effort each implies, the target local contribution and how the required contribution was arrived at. This is where the town's ability to pay is computed, and it is the half of the formula the school budget never shows.","A DIFFERENT GRAIN FROM EVERY OTHER CHAPTER 70 TABLE HERE: a row is a TOWN, not a district, and `lea_number` is the workbook's own municipal key rather than a DESE org code. For a regional district several towns contribute to one district, so this must not be joined one to one with `dese_ch70_formula`. AND THE TOWN'S REQUIRED CONTRIBUTION IS NOT THE DISTRICT'S: for FY2026 Lunenburg the town figure is $14,605,342 and the Lunenburg school district figure in `dese_ch70_formula` is $13,334,631, because a town also contributes to any regional district it belongs to. Every district is kept here rather than the seven-district peer scope the other Chapter 70 tables use, because a town in a regional district has a contribution row and no district row and scoping by district would drop exactly those.","SELECT fy, municipality, equalized_valuation, income, combined_effort_yield, target_local_contribution, required_local_contribution FROM dese_ch70_contribution WHERE municipality LIKE 'Lunenburg%' ORDER BY fy DESC LIMIT 1000"
dese_circuit_breaker,fact,school,1,one row per district per FISCAL year,"State reimbursement for high-cost special education placements, FY2006-FY2026, split into instruction and tuition against transportation, with prior-year adjustments and relief payments separated -- so a year's receipt can be told apart from a year's entitlement. It also carries `eligible_students_claimed`, a count of CHILDREN.","**KEYED ON FISCAL YEAR, NOT SCHOOL YEAR.** Every other DESE table here is school year, and this repository has already had a fiscal-year type error that matched nothing silently. This is money the district RECEIVES and it does not appear in the general fund appropriation the town votes -- rule 11: a budget line that fell because circuit breaker rose is not a line that got cheaper. `eligible_students_claimed` counts CLAIMS, which is not the same set as the children in `sources/data/placement-counts.csv`. SCOPED to Lunenburg, its six peers and the state row, because the published database has to stay under Cloudflare's 25MB per-asset limit. Every identity the extract asserts is asserted across ALL districts before the scope is applied, and `dese_ch70_statewide` keeps the all-district comparison as a distribution.","SELECT fy, eligible_students_claimed, total_eligible_expenses, total_net_claim, total_quarterly_payment, prior_year_adjustment FROM dese_circuit_breaker WHERE lea='01620000' ORDER BY fy DESC LIMIT 1000"
dese_ch70_statewide,fact,school,3,"one row per fiscal year per measure, across every Massachusetts district","Where Lunenburg sits among every Massachusetts district on four ratios: net school spending as a share of what the state requires, Chapter 70 aid per foundation pupil, the required local contribution as a share of the foundation budget, and circuit breaker claim per eligible student. Min, quartiles, median, max, Lunenburg's own figure and its rank.","Read the denominator before quoting a rank -- `districts` is it, and it counts only districts that reported the measure that year. `basis` says on every row what the ratio is OF, because each is a division by a count or a dollar whose definition has to travel with it: foundation enrollment is not a headcount of children in the buildings, and the circuit breaker rows are FISCAL year where the rest are the Chapter 70 fiscal year. Publish the share-of-required as a measurement and never as a verdict -- the required minimum is a floor, not a standard of adequacy, and a district above it is not thereby adequately funded.","SELECT fy, measure, districts, p25, median, p75, lunenburg, lunenburg_rank_of_districts FROM dese_ch70_statewide WHERE measure='net school spending as a share of required' ORDER BY fy DESC LIMIT 1000"
